,IndicatorCategoryCode,IndicatorCategory,IndicatorCode,Indicator,ReportingEconomyCode,ReportingEconomy,PartnerEconomyCode,PartnerEconomy,ProductOrSectorClassificationCode,ProductOrSectorClassification,ProductOrSectorCode,ProductOrSector,PeriodCode,Period,FrequencyCode,Frequency,UnitCode,Unit,Year,ValueFlagCode,ValueFlag,TextValue,Value
0,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,090,Solomon Islands,242,Fiji,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2010,PREF,Preferential scheme,Preferential duty rates for Melanesian Spearhead Group (MSG),0.0
1,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,090,Solomon Islands,242,Fiji,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2011,PREF,Preferential scheme,Prefrential duty rates for Melanesian Spearhead Group (MSG) countries,0.0
2,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,090,Solomon Islands,548,Vanuatu,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2011,PREF,Preferential scheme,Prefrential duty rates for Melanesian Spearhead Group (MSG) countries,0.0
3,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,090,Solomon Islands,598,Papua New Guinea,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2011,PREF,Preferential scheme,Prefrential duty rates for Melanesian Spearhead Group (MSG) countries,0.0
4,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,090,Solomon Islands,548,Vanuatu,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2010,PREF,Preferential scheme,Preferential duty rates for Melanesian Spearhead Group (MSG),0.0
5,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,090,Solomon Islands,598,Papua New Guinea,HS,Harmonized System,010110,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2010,PREF,Preferential scheme,Preferential duty rates for Melanesian Spearhead Group (MSG),0.0
6,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,090,Solomon Islands,242,Fiji,HS,Harmonized System,010111,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Preferential duty rates for Melanesian Spearhead Group (MSG),0.0
7,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,090,Solomon Islands,548,Vanuatu,HS,Harmonized System,010111,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Preferential duty rates for Melanesian Spearhead Group (MSG),0.0
8,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,090,Solomon Islands,598,Papua New Guinea,HS,Harmonized System,010111,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Preferential duty rates for Melanesian Spearhead Group (MSG),0.0
9,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,090,Solomon Islands,242,Fiji,HS,Harmonized System,010119,Other,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Preferential duty rates for Melanesian Spearhead Group (MSG),0.0
10,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,090,Solomon Islands,548,Vanuatu,HS,Harmonized System,010119,Other,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Preferential duty rates for Melanesian Spearhead Group (MSG),0.0
11,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,090,Solomon Islands,598,Papua New Guinea,HS,Harmonized System,010119,Other,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Preferential duty rates for Melanesian Spearhead Group (MSG),0.0
12,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,090,Solomon Islands,242,Fiji,HS,Harmonized System,010120,"Asses, mules and hinnies",A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Preferential duty rates for Melanesian Spearhead Group (MSG),0.0
13,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,090,Solomon Islands,548,Vanuatu,HS,Harmonized System,010120,"Asses, mules and hinnies",A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Preferential duty rates for Melanesian Spearhead Group (MSG),0.0
14,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,090,Solomon Islands,598,Papua New Guinea,HS,Harmonized System,010120,"Asses, mules and hinnies",A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Preferential duty rates for Melanesian Spearhead Group (MSG),0.0
15,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,090,Solomon Islands,242,Fiji,HS,Harmonized System,010190,Other,A,Annual,A,Annual,PCT,Percent,2010,PREF,Preferential scheme,Preferential duty rates for Melanesian Spearhead Group (MSG),0.0
16,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,090,Solomon Islands,548,Vanuatu,HS,Harmonized System,010190,Other,A,Annual,A,Annual,PCT,Percent,2010,PREF,Preferential scheme,Preferential duty rates for Melanesian Spearhead Group (MSG),0.0
17,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,090,Solomon Islands,598,Papua New Guinea,HS,Harmonized System,010190,Other,A,Annual,A,Annual,PCT,Percent,2010,PREF,Preferential scheme,Preferential duty rates for Melanesian Spearhead Group (MSG),0.0
18,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,090,Solomon Islands,242,Fiji,HS,Harmonized System,010190,Other,A,Annual,A,Annual,PCT,Percent,2011,PREF,Preferential scheme,Prefrential duty rates for Melanesian Spearhead Group (MSG) countries,0.0
19,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,090,Solomon Islands,548,Vanuatu,HS,Harmonized System,010190,Other,A,Annual,A,Annual,PCT,Percent,2011,PREF,Preferential scheme,Prefrential duty rates for Melanesian Spearhead Group (MSG) countries,0.0
20,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,090,Solomon Islands,598,Papua New Guinea,HS,Harmonized System,010190,Other,A,Annual,A,Annual,PCT,Percent,2011,PREF,Preferential scheme,Prefrential duty rates for Melanesian Spearhead Group (MSG) countries,0.0
21,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,090,Solomon Islands,242,Fiji,HS,Harmonized System,010310,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2011,PREF,Preferential scheme,Prefrential duty rates for Melanesian Spearhead Group (MSG) countries,0.0
22,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,090,Solomon Islands,242,Fiji,HS,Harmonized System,010310,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2010,PREF,Preferential scheme,Preferential duty rates for Melanesian Spearhead Group (MSG),0.0
23,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,090,Solomon Islands,548,Vanuatu,HS,Harmonized System,010310,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2010,PREF,Preferential scheme,Preferential duty rates for Melanesian Spearhead Group (MSG),0.0
24,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,090,Solomon Islands,242,Fiji,HS,Harmonized System,010310,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Preferential duty rates for Melanesian Spearhead Group (MSG),0.0
25,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,090,Solomon Islands,548,Vanuatu,HS,Harmonized System,010310,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Preferential duty rates for Melanesian Spearhead Group (MSG),0.0
26,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,090,Solomon Islands,598,Papua New Guinea,HS,Harmonized System,010310,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Preferential duty rates for Melanesian Spearhead Group (MSG),0.0
27,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,090,Solomon Islands,242,Fiji,HS,Harmonized System,010391,Weighing less than 50 kg,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Preferential duty rates for Melanesian Spearhead Group (MSG),0.0
28,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,090,Solomon Islands,548,Vanuatu,HS,Harmonized System,010391,Weighing less than 50 kg,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Preferential duty rates for Melanesian Spearhead Group (MSG),0.0
29,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,090,Solomon Islands,598,Papua New Guinea,HS,Harmonized System,010391,Weighing less than 50 kg,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Preferential duty rates for Melanesian Spearhead Group (MSG),0.0
30,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,090,Solomon Islands,242,Fiji,HS,Harmonized System,010392,Weighing 50 kg or more,A,Annual,A,Annual,PCT,Percent,2006,PREF,Preferential scheme,Preferential duty rates for Melanesian Spearhead Group (MSG),0.0
31,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,090,Solomon Islands,598,Papua New Guinea,HS,Harmonized System,010310,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2010,PREF,Preferential scheme,Preferential duty rates for Melanesian Spearhead Group (MSG),0.0
32,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,090,Solomon Islands,242,Fiji,HS,Harmonized System,010391,Weighing less than 50 kg,A,Annual,A,Annual,PCT,Percent,2010,PREF,Preferential scheme,Preferential duty rates for Melanesian Spearhead Group (MSG),0.0
33,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,090,Solomon Islands,548,Vanuatu,HS,Harmonized System,010391,Weighing less than 50 kg,A,Annual,A,Annual,PCT,Percent,2010,PREF,Preferential scheme,Preferential duty rates for Melanesian Spearhead Group (MSG),0.0
34,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,090,Solomon Islands,598,Papua New Guinea,HS,Harmonized System,010391,Weighing less than 50 kg,A,Annual,A,Annual,PCT,Percent,2010,PREF,Preferential scheme,Preferential duty rates for Melanesian Spearhead Group (MSG),0.0
35,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,090,Solomon Islands,242,Fiji,HS,Harmonized System,010392,Weighing 50 kg or more,A,Annual,A,Annual,PCT,Percent,2010,PREF,Preferential scheme,Preferential duty rates for Melanesian Spearhead Group (MSG),0.0
36,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,090,Solomon Islands,548,Vanuatu,HS,Harmonized System,010310,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2011,PREF,Preferential scheme,Prefrential duty rates for Melanesian Spearhead Group (MSG) countries,0.0
